 (  =  =  =  =  =  =  =  =  =  =  =  =  =  =  =  =  =  =  ) 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  { 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  # 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  # 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  ( 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 {  =  =  =  =  =  =  =  =  =  =  =  )  #  #  (  =  =  =  } 
