 (  =  =  =  }  #  #  {  =  =  =  =  =  =  =  ) 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  { 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  # 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  # 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  ( 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  #  #  #  #  | 
 {  =  =  =  =  =  =  =  =  =  =  =  =  =  =  } 
