 (  =  =  =  }  #  #  {  =  =  =  ) 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 |  #  #  #  #  #  #  #  #  #  #  | 
 {  =  =  =  =  =  =  =  =  =  =  } 
